|home|away|date|home_pts|away_pts|game_id
0|TOR|NOP|2019-10-22|130|122|21900001
1|LAC|LAL|2019-10-22|112|102|21900002
2|CHA|CHI|2019-10-23|126|125|21900003
3|IND|DET|2019-10-23|110|119|21900004
4|ORL|CLE|2019-10-23|94|85|21900005
5|BKN|MIN|2019-10-23|126|127|21900006
6|MIA|MEM|2019-10-23|120|101|21900007
7|PHI|BOS|2019-10-23|107|93|21900008
8|DAL|WAS|2019-10-23|108|100|21900009
9|SAS|NYK|2019-10-23|120|111|21900010
10|UTA|OKC|2019-10-23|100|95|21900011
11|PHX|SAC|2019-10-23|124|95|21900012
12|POR|DEN|2019-10-23|100|108|21900013
13|DET|ATL|2019-10-24|100|117|21900014
14|HOU|MIL|2019-10-24|111|117|21900015
15|GSW|LAC|2019-10-24|122|141|21900016
16|BOS|TOR|2019-10-25|112|106|21900017
17|CHA|MIN|2019-10-25|99|121|21900018
18|BKN|NYK|2019-10-25|113|109|21900019
19|MEM|CHI|2019-10-25|102|110|21900020
20|NOP|DAL|2019-10-25|116|123|21900021
21|OKC|WAS|2019-10-25|85|97|21900022
22|DEN|PHX|2019-10-25|108|107|21900023
23|SAC|POR|2019-10-25|112|122|21900024
24|LAL|UTA|2019-10-25|95|86|21900025
25|MIL|MIA|2019-10-26|126|131|21900026
26|DET|PHI|2019-10-26|111|117|21900027
27|ATL|ORL|2019-10-26|103|99|21900028
28|NYK|BOS|2019-10-26|95|118|21900029
29|CLE|IND|2019-10-26|110|99|21900030
30|CHI|TOR|2019-10-26|84|108|21900031
31|HOU|NOP|2019-10-26|126|123|21900032
32|SAS|WAS|2019-10-26|124|122|21900033
33|UTA|SAC|2019-10-26|113|81|21900034
34|PHX|LAC|2019-10-26|130|122|21900035
35|OKC|GSW|2019-10-27|120|92|21900036
36|MEM|BKN|2019-10-27|134|133|21900037
37|DAL|POR|2019-10-27|119|121|21900038
38|MIN|MIA|2019-10-27|116|109|21900039
39|LAL|CHA|2019-10-27|120|101|21900040
40|DET|IND|2019-10-28|96|94|21900041
41|NYK|CHI|2019-10-28|105|98|21900042
42|ATL|PHI|2019-10-28|103|105|21900043
43|TOR|ORL|2019-10-28|104|95|21900044
44|HOU|OKC|2019-10-28|116|112|21900045
45|MIL|CLE|2019-10-28|129|112|21900046
46|NOP|GSW|2019-10-28|123|134|21900047
47|SAS|POR|2019-10-28|113|110|21900048
48|PHX|UTA|2019-10-28|95|96|21900049
49|SAC|DEN|2019-10-28|94|101|21900050
50|LAC|CHA|2019-10-28|111|96|21900051
51|MIA|ATL|2019-10-29|112|97|21900052
52|DEN|DAL|2019-10-29|106|109|21900053
53|LAL|MEM|2019-10-29|120|91|21900054
54|CLE|CHI|2019-10-30|117|111|21900055
55|ORL|NYK|2019-10-30|95|83|21900056
56|PHI|MIN|2019-10-30|117|95|21900057
57|BOS|MIL|2019-10-30|116|105|21900058
58|BKN|IND|2019-10-30|108|118|21900059
59|TOR|DET|2019-10-30|125|113|21900060
60|WAS|HOU|2019-10-30|158|159|21900061
61|OKC|POR|2019-10-30|99|102|21900062
62|UTA|LAC|2019-10-30|110|96|21900063
63|SAC|CHA|2019-10-30|111|118|21900064
64|GSW|PHX|2019-10-30|110|121|21900065
65|ATL|MIA|2019-10-31|97|106|21900066
66|NOP|DEN|2019-10-31|122|107|21900067
67|LAC|SAS|2019-10-31|103|97|21900068
68|BKN|HOU|2019-11-01|123|116|21900069
69|IND|CLE|2019-11-01|102|95|21900070
70|ORL|MIL|2019-11-01|91|123|21900071
71|BOS|NYK|2019-11-01|104|102|21900072
72|CHI|DET|2019-11-01|112|106|21900073
73|DAL|LAL|2019-11-01|110|119|21900074
